product_name,pricing,rating
APPLE iPhone SE (White| 128 GB),Rs.31999,4.51,45,777
APPLE iPhone SE (Red| 128 GB),Rs.29999,4.51,45,777
APPLE iPhone 12 Mini (Black| 64 GB),Rs.41299,4.591,921
APPLE iPhone SE (Black| 64 GB),Rs.28999,4.51,45,777
APPLE iPhone SE (White| 64 GB),Rs.28999,4.51,45,777
APPLE iPhone SE (Red| 64 GB),Rs.28999,4.51,45,777
APPLE iPhone SE (Black| 128 GB),Rs.31999,4.51,45,777
APPLE iPhone 12 (Black| 64 GB),Rs.53999,4.61,63,274
APPLE iPhone 12 Mini (Purple| 64 GB),Rs.41299,4.591,921
APPLE iPhone 12 Mini (Blue| 64 GB),Rs.41299,4.591,921
APPLE iPhone 11 (Green| 128 GB),Rs.54900Free deliveryUpto ,4.678,215
Apple iPhone XR ((PRODUCT)RED| 64 GB) (Includes EarPods| Power Adapter),Rs.39999,4.699,550
APPLE iPhone 11 (Black| 128 GB),Rs.54900Free deliveryUpto ,4.678,215
APPLE iPhone 13 Mini (Starlight| 512 GB),Rs.99900Free deliveryUpto ,4.6364
APPLE iPhone 11 (White| 128 GB),Rs.54900Free deliveryUpto ,4.678,215
APPLE iPhone XR ((PRODUCT)RED| 128 GB),Rs.44999,4.699,550
APPLE iPhone 12 Mini (Black| 256 GB),Rs.64999,4.591,921
APPLE iPhone 13 Mini (Pink| 512 GB),Rs.99900Free deliveryUpto ,4.6364
APPLE iPhone 12 Mini (Blue| 256 GB),Rs.64999,4.591,921
APPLE iPhone 12 Mini (White| 256 GB),Rs.64999,4.591,921
APPLE iPhone 13 Mini ((PRODUCT)RED| 512 GB),Rs.99900Free deliveryUpto ,4.6364
APPLE iPhone SE (Red| 256 GB),Rs.44999,4.51,45,777
APPLE iPhone 13 Pro Max (Silver| 512 GB),Rs.159900Free deliveryUpto ,4.7796
APPLE iPhone 13 Mini (Midnight| 512 GB),Rs.99900Free deliveryUpto ,4.6364
